Time_s,Tink_temp,Tqe,N,Gear,Vxx,TCOOL,Qa,P_int,P_ext,N_t,VVT_ex_crk,VVT_in_crk,Ign_angle_crk,VSP,CO,CO2,Nox,HC
2.7,42.813288,0.739302,750.5,0,4.48,84.0,59.408974,294.0,1.458499,4968.963162,0.0,0.12,1.125,0.043039520786522796,24.8092508754257,305.852499436633,81.420261,4473.32907498664
2.8,42.813288,0.681937,742.75,0,4.48,84.0,59.408974,293.0,0.890556000000007,4932.982487,0.0,0.1,2.625,0.039289976101359675,24.4382696694521,300.611385496612,81.320576,4355.70072245575
2.9,42.813288,0.748769,742.75,0,4.48,84.0,59.408974,293.0,2.34816599999999,4932.194589,0.0,0.0999999999999998,2.625,0.043140519014863515,24.343133457886,301.667232141853,81.581618,4513.99100255737
3.0,42.813288,0.783037,749.0,0,4.44,84.0,58.794323,293.0,0.378422,4884.920709,0.0,0.06,1.5,0.045494505721729736,24.2372429571632,302.029297613536,81.990949,4491.92562263681
3.1,42.813288,0.734001,749.0,0,4.44,84.0,58.794323,293.0,2.423673,4892.799689,0.0,0.06,1.5,0.04264551061348997,24.2170511073992,301.283037377089,82.057577,4472.12078432624
3.2,42.813288,0.771298,750.5,0,4.46,84.0,59.091049,294.0,0.8052,4868.637484,0.0,0.12,1.125,0.04490221357929974,24.2528549695699,304.059508315999,81.810079,4466.55155602615
3.3,42.813288,0.8260307273,750.5,0,4.46,84.0,59.091049,294.0,1.32748090909091,4876.75522036364,0.0,0.12,1.125,0.04808855739323699,24.1518381293308,303.434398578817,82.0752971818182,4452.8871394511
3.4,42.813288,0.796289,735.5,0,4.5,84.0,59.599724,293.0,0.194580000000012,4873.364872,0.0,0.08,4.875,0.045430575978988245,23.8401599337744,301.523804055642,82.073342,4434.83773675345
3.5,42.813288,0.763347,735.5,0,4.5,84.0,59.599724,292.0,2.834037,4843.162115,0.0,0.08,4.875,0.04355114020391182,23.7186608662977,299.636310518599,81.817021,4393.27195927373
3.6,42.83175,0.765051,741.25,0,4.41,84.0,58.200871,292.0,0.063263,4838.959993,0.0,0.08,3.375,0.04398959291741865,23.5518617755244,299.042693286099,81.544458,4353.81522465742
3.7,42.83175,0.808406,741.25,0,4.41,84.0,58.200871,292.0,2.426956,4838.959993,0.0,0.08,3.375,0.04648245783875681,23.6211121086852,298.439264417859,81.437796,4313.85580221904
3.8,42.83175,0.817115,738.0,0,4.42,84.0,58.497597,291.0,0.0,4817.949379,0.0,0.12,4.125,0.04677721854518177,23.5089251526839,295.994648210133,80.913387,4278.94576865264
3.9,42.83175,0.78758,738.0,0,4.42,84.0,58.497597,291.0,0.286501,4788.009256,0.0,0.12,4.125,0.04508643432297076,23.5750711841058,295.907982041075,80.943516,4258.34949904322
