Time_s,Tink_temp,Tqe,N,Gear,Vxx,TCOOL,Qa,P_int,Ign_angle_crk,VVT_in_crk,VVT_ex_crk,N_t,P_ext,VSP,CO,CO2,Nox,HC
2.9,42.813288,0.748769,1023.25,0,7.46,1.5,71.8927,305.0,2.625,0.1,0.0,406.771307,4.023662,0.05943256288382241,13.73043008,788.6402041,162.168197,9139.541885
3.0,42.813288,0.783037,1021.25,0,7.42,1.5,71.489998,304.0,1.5,0.06,0.0,397.579164,0.0,0.06203106003780572,13.07749132,787.1758802,161.623355,9126.910231
3.1,42.813288,0.734001,1021.25,0,7.42,1.5,71.489998,304.0,1.5,0.06,0.0,408.08447,2.221346,0.05814649895063635,12.97970394,788.0549534,161.224312,9212.266457
3.2,42.813288,0.771298,1021.25,0,7.42,1.5,71.489998,304.0,1.125,0.12,0.0,392.851777,0.540497,0.0611011134148699,12.79924629,785.9650738,160.797954,9024.923369
3.3,42.813288,0.8260307273,1013.0,0,7.45,1.5,71.807922,306.0,1.125,0.12,0.0,405.458144,0.0,0.0649083392929368,12.57377321,785.7177634,160.490616,9038.896651
3.4,42.813288,0.796289,1013.0,0,7.45,1.5,71.807922,306.0,4.875,0.08,0.0,402.043919,3.294856,0.06257127595746444,13.00627516,785.4788702,159.787379,9155.128619
3.5,42.813288,0.763347,1013.0,0,7.45,1.5,71.807922,306.0,4.875,0.08,0.0,383.134369,0.0,0.059982739669017904,12.45543481,788.228592,159.137533,9089.996993
3.6,42.83175,0.765051,1014.5,0,7.49,2.25,72.104645,307.0,3.375,0.08,0.0,403.619715,1.36779,0.06020565533183301,12.33077552,793.8175298,158.367129,8951.253784
3.7,42.83175,0.808406,1014.5,0,7.49,2.25,72.104645,307.0,3.375,0.08,0.0,419.377674,1.289,0.06361747518032888,12.06037352,793.3184351,157.529574,8998.987289
3.8,42.83175,0.817115,1014.5,0,7.49,2.25,72.104645,307.0,4.125,0.12,0.0,398.367062,0.0,0.06430282955838335,11.94767873,793.1648912,156.30359,9108.310168
3.9,42.83175,0.78758,1016.5,0,7.39,2.25,72.104645,306.0,4.125,0.12,0.0,416.226082,3.012526,0.06210075947059591,11.17135239,781.3337925,155.099413,8942.829046
4.0,42.83175,0.78758,1017.75,0,7.33,2.25,71.489998,308.0,4.125,0.12,0.0,428.307184,0.0,0.06217712538238956,11.28789753,777.3466199,154.427518,8964.443927
4.1,42.83175,0.765619,1017.75,0,7.33,2.25,71.489998,308.0,2.625,0.1,0.0,406.508674,0.596307,0.06044336900142171,11.82104803,777.9654937,153.614707,8972.454275
4.2,42.83175,0.764672,1017.75,0,7.33,2.25,71.489998,308.0,2.625,0.1,0.0,408.872368,3.731483,0.060368606135760935,11.62511719,775.4683192,152.74948,9063.777945
4.3,42.83175,0.721317,1004.5,0,7.42,2.25,72.401375,309.0,2.625,0.1,0.0,404.670246,0.0,0.056204483134714114,11.50263884,780.7025064,152.137471,8910.788372
4.4,42.83175,0.738166,1004.5,0,7.42,2.25,72.401375,309.0,2.625,0.12,0.0,408.347103,0.888486,0.05751734465930981,11.43697226,781.3405781,151.096582,9020.576155
4.5,42.83175,0.702573,1010.5,0,7.42,2.25,72.401375,308.0,4.5,0.1,0.0,421.478735,2.818835,0.05507095694450253,11.3123552,781.9899714,149.92959,8889.802954
4.6,42.828726,0.738356,1010.5,0,7.42,2.25,72.401375,308.0,4.5,0.1,0.0,403.619715,0.0,0.05787579580444325,11.18073734,783.5388153,149.705279,8920.275012
4.7,42.828726,0.653538,1010.5,0,7.42,2.25,72.401375,308.0,2.625,0.08,0.0,422.004001,2.260741,0.05122736435871617,11.02968328,781.3357316,149.054388,8932.838182
4.8,42.828726,0.668305,999.5,0,7.4,2.25,72.592125,308.0,2.625,0.08,0.0,386.811226,1.860226,0.05181462487205304,10.72714061,775.2812877,148.854295,8999.565723
4.9,42.828726,0.666412,999.5,0,7.4,2.25,72.592125,308.0,2.25,0.1,0.0,407.821838,0.0,0.051667857924502444,9.876338894,775.9334728,148.547572,8953.539734
5.0,42.828726,0.64161,1006.25,0,7.4,2.25,72.592125,310.0,1.125,0.08,0.0,397.579164,2.559485,0.05008087025580699,9.999291141,777.9143597,148.560039,8940.528686
5.1,42.828726,0.677204,1006.25,0,7.4,2.25,72.592125,310.0,1.875,0.08,0.0,408.609736,0.573326,0.05285916002043847,9.926322143,779.4177136,149.207048,8880.630755
5.2,42.828726,0.619459,1006.25,0,7.4,2.25,72.592125,310.0,1.875,0.08,0.0,410.448164,0.0,0.04835187389191556,9.774863901,780.0374207,149.52902,8951.202918
5.3,42.828726,0.680233,1008.75,0,7.34,2.25,72.104645,309.0,1.875,0.08,0.0,420.165572,2.75646,0.053227503129388336,9.754123178,780.9445203,149.72752,8928.820919
5.4,42.828726,0.409308,1006.25,0,7.33,2.25,71.998672,308.0,1.875,0.08,0.0,425.680858,0.737472,0.0319485370282007,9.686561945,777.3877114,150.318939,8920.622288
5.5,42.828726,0.409308,1006.25,0,7.33,2.25,71.998672,308.0,2.25,0.12,0.0,410.448164,0.0,0.0319485370282007,9.69120068,778.7792042,150.510596,8912.170131
5.6,42.859969,0.89171,1005.0,0,7.38,2.25,72.401375,309.0,2.25,0.12,0.0,409.922899,3.363797,0.06951596377921525,9.641749584,779.3222261,151.028613,8910.758458
5.7,42.859969,0.3385,1005.0,0,7.38,2.25,72.401375,309.0,2.25,0.12,0.0,422.791898,0.0,0.026388796513736927,10.03113827,779.5200446,151.443833,8912.74577
5.8,42.859969,0.33566,1005.0,0,7.38,2.25,72.401375,309.0,1.125,0.08,0.0,418.852409,1.34481,0.02616739568035728,9.547600474,779.5287891,151.741176,8909.666853
5.9,42.859969,0.321839,1005.0,0,7.27,2.25,72.698097,310.0,6.0,0.1,0.0,405.983409,3.271876,0.0250899376105896,9.550063865,766.4926115,151.470531,8925.267771
6.0,42.859969,0.321839,1005.0,0,7.27,2.25,72.698097,310.0,6.0,0.1,0.0,410.185531,0.0,0.0250899376105896,9.631883271,766.4716173,151.122705,8935.806601
6.1,42.859969,0.3295844545,1005.0,0,7.27,2.25,72.698097,310.0,6.0,0.1,0.0,408.609736,1.715778,0.02569375806171784,9.703590714,766.4619234,150.992355,8930.822189
6.2,42.859969,0.330548,1007.25,0,7.33,2.25,72.401375,309.0,1.875,0.08,0.0,434.085102,1.597593,0.025826565689632718,9.810576069,774.4649999,150.68096,8926.246134
6.3,42.859969,0.32998,1007.25,0,7.33,2.25,72.401375,309.0,1.875,0.08,0.0,415.96345,0.0,0.025782186388255277,9.790139444,774.4438966,150.413053,8908.437589
6.4,42.859969,0.336796,1003.75,0,7.34,2.25,72.507347,310.0,1.875,0.08,0.0,420.165572,2.769591,0.026223299352000545,9.748433452,772.0446565,150.609986,8919.330831
6.5,42.859969,0.336796,1003.75,0,7.34,2.25,72.507347,310.0,1.875,0.08,0.0,441.701449,1.111723,0.026223299352000545,9.726365101,774.8078747,150.692932,8901.921799
6.6,42.859969,0.336796,1008.5,0,7.33,3.0,72.401375,309.0,1.875,0.08,0.0,394.427573,0.0,0.026347394666493194,9.735546066,778.9662268,151.068868,8899.572106
6.7,42.86523,0.329412,1008.5,0,7.33,3.0,72.401375,309.0,1.875,0.1,0.0,409.135001,3.82997,0.025769747775742164,9.728404586,778.3887645,151.588194,8903.976309
6.8,42.86523,0.339257,1008.5,0,7.33,3.0,72.401375,309.0,1.125,0.12,0.0,418.064511,0.15968,0.026539917553565016,9.71217537,778.1425555,151.536068,8904.606905
6.9,42.86523,0.331116,1006.25,0,7.33,3.0,72.401375,309.0,1.125,0.12,0.0,431.721408,0.0,0.025845260260316683,9.652586525,773.3649876,151.402542,8896.803645
7.0,42.86523,0.331495,1006.25,0,7.33,3.0,72.401375,309.0,1.875,0.06,0.0,416.751348,3.521377,0.0258748431063243,9.660503883,773.3640314,151.45968,8885.319998
7.1,42.86523,0.329223,1006.25,0,7.33,3.0,72.401375,309.0,1.875,0.06,0.0,420.165572,0.320543,0.025697502140283882,9.691658207,773.3682679,151.191566,8879.058432
7.2,42.86523,0.327898,1011.5,0,7.29,3.0,72.401375,309.0,2.625,0.08,0.0,420.428205,0.373069,0.0257276135883443,9.7530074,774.7151583,150.833482,8895.688522
7.3,42.86523,0.332252,1011.5,0,7.29,3.0,72.401375,309.0,0.75,0.12,0.0,423.842429,0.0,0.02606923820808474,9.719545843,776.1082967,150.783665,8874.405105
7.4,42.86523,0.327708,1011.5,0,7.29,3.0,72.401375,309.0,0.75,0.12,0.0,423.842429,0.0,0.025712705761575656,9.947509543,776.6785687,150.530229,8863.761883
7.5,42.86523,0.329223,1000.75,0,7.29,3.0,72.401375,309.0,0.0,0.06,0.0,417.539246,0.901617,0.025557043743492273,9.653426774,764.3242388,150.344863,8864.594263
7.6,42.862104,0.351942,1007.25,0,7.23,3.0,71.807922,308.0,0.0,0.06,0.0,421.216103,2.152405,0.027498133953134545,9.872054388,763.0166471,150.330905,8856.669803
7.7,42.862104,0.335471,1007.25,0,7.23,3.0,71.807922,308.0,0.0,0.06,0.0,419.640307,0.0,0.02621121234576152,9.698876651,763.0415056,150.751318,8872.262858
